nickname,subject,year,state,img,keywords
專利幣,創新起源,2018,美國,coin-2018-introductory.webp,首發 專利 齒輪 發明家 總統簽名
人權幣,人文社會,2020,南卡羅萊納,coin-2020-southcarolina.webp,
自由幣,人文社會,2023,俄亥俄,coin-2023-ohio.webp,
神燈幣,人文社會,2021,北卡羅萊納,coin-2021-northcarolina.webp,大學 神燈 校友喬丹
滑雪板幣,生活風格,2022,佛蒙特,coin-2022-vermont.webp,抓瓜
賽車幣,生活風格,2023,印地安納,coin-2023-indiana.webp,印地500
班卓琴幣,生活風格,2022,肯塔基,coin-2022-kentucky.webp,
帆船幣,生活風格,2022,羅德島,coin-2022-rhodeisland.webp,
疫苗幣,生醫健康,2019,賓州,coin-2019-pennsylvania.webp,小兒麻痺
手術幣,生醫健康,2023,密西西比,coin-2023-mississippi.webp,肺移植
AED幣,生醫健康,2024,緬因,coin-2024-maine.webp,急救 電擊器
儀器幣,重工製造,2020,康乃狄克,coin-2020-connecticut.webp,機械式計算工具 登月 你連尺都不用
運河幣,重工製造,2021,紐約,coin-2021-newyork.webp,迅速發展
隧道幣,重工製造,2021,維吉尼亞,coin-2021-virginia.webp,工程奇蹟
電力幣,重工製造,2022,田納西,coin-2022-tennessee.webp,電力即國力
登陸艇幣,重工製造,2023,路易斯安那,coin-2023-louisiana.webp,二戰
燈泡幣,重工製造,2019,紐澤西,coin-2019-newjersey.webp,還有人知道鎢絲
軍艦幣,重工製造,2025,阿肯色,coin-2025-arkansas.webp,台灣有 波蘭有 澳洲西班牙也有 還在服役
汽車產線幣,重工製造,2025,密西根,coin-2025-michigan.webp,車間 產線 智慧製造
冰淇淋車幣,重工製造,2026,明尼蘇達,coin-2026-minnesota.webp,冷鏈
星空幣,航太天文,2019,德拉瓦,coin-2019-delaware.webp,周杰倫星
哈伯望遠鏡幣,航太天文,2020,馬里蘭,coin-2020-maryland.webp,還在工作 光學
火箭幣,航太天文,2024,阿拉巴馬,coin-2024-alabama.webp,登月 神農五號
太空梭幣,航太天文,2025,佛羅里達,coin-2025-florida.webp,KSC
太空人幣,航太天文,2025,德州,coin-2025-texas.webp,太空漫步
花園幣,農業生態,2019,喬治亞,coin-2019-georgia.webp,薩凡納 殖民地 最初種子
雷殘幣,農業生態,2024,伊利諾,coin-2024-illinois.webp,犁田
化學/農業幣,農業生態,2024,密蘇里,coin-2024-missouri.webp,永續 花生先生 車上學校
小麥幣,農業生態,2026,愛荷華,coin-2026-iowa.webp,矮桿小麥 諾貝爾和平獎 世界糧食獎
電話幣,數位資訊,2020,麻薩諸塞,coin-2020-massachusetts.webp,用過就透漏年齡
電玩幣,數位資訊,2021,新罕布夏,coin-2021-newhampshire.webp,不是貪吃蛇
賈伯斯幣,數位資訊,2026,加州,coin-2026-california.webp,矽谷 蘋果 賈伯斯
超級電腦幣,數位資訊,2026,威斯康辛,coin-2026-wisconsin.webp,算力即國力 氣象預報 核子物理 流體動力
